angle (°) - amplitude	amplitude (V) - amplitude	
97.07	2.07743	
97.0675	2.1169	
97.065	2.13632	
97.0625	2.19537	
97.06	2.19084	
97.0575	2.18453	
97.055	2.17903	
97.0525	2.17418	
97.05	2.169	
97.0475	2.16431	
97.045	2.16026	
97.0425	2.19877	
97.04	2.21463	
97.0375	2.23064	
97.035	2.24585	
97.0325	2.23922	
97.03	2.23242	
97.0275	2.22692	
97.025	2.22175	
97.0225	2.23614	
97.02	2.22967	
97.0175	2.22336	
97.015	2.21786	
97.0125	2.1902	
97.01	2.20686	
97.0075	2.20087	
97.005	2.19618	
97.0025	2.23275	
97	2.2266	
96.9975	2.22061	
96.995	2.21495	
96.9925	2.20945	
96.99	2.2245	
96.9875	2.21835	
96.985	2.21268	
96.9825	2.20735	
96.98	2.22272	
96.9775	2.32594	
96.975	2.38192	
96.9725	2.43742	
96.97	2.5133	
96.9675	2.52268	
96.965	2.53061	
96.9625	2.53935	
96.96	2.54808	
96.9575	2.53595	
96.955	2.54371	
96.9525	2.53012	
96.95	2.51718	
96.9475	2.50537	
96.945	2.49291	
96.9425	2.50229	
96.94	2.51119	
96.9375	2.49922	
96.935	2.50877	
96.9325	2.5175	
96.93	2.52673	
96.9275	2.5154	
96.925	2.5442	
96.9225	2.53093	
96.92	2.56135	
96.9175	2.59193	
96.915	2.55633	
96.9125	2.5641	
96.91	2.57138	
96.9075	2.57963	
96.905	2.60843	
96.9025	2.59355	
96.9	2.60083	
96.8975	2.5861	
96.895	2.5717	
96.8925	2.55811	
96.89	2.56701	
96.8875	2.55245	
96.885	2.53967	
96.8825	2.56879	
96.88	2.59775	
96.8775	2.58432	
96.875	2.63496	
96.8725	2.64079	
96.87	2.64694	
96.8675	2.63124	
96.865	2.61684	
96.8625	2.57996	
96.86	2.54614	
96.8575	2.55358	
96.855	2.56086	
96.8525	2.56863	
96.85	2.53271	
96.8475	2.52074	
96.845	2.50731	
96.8425	2.49518	
96.84	2.46201	
96.8375	2.44987	
96.835	2.43871	
96.8325	2.42738	
96.83	2.41816	
96.8275	2.40732	
96.825	2.41865	
96.8225	2.42981	
96.82	2.41978	
96.8175	2.40926	
96.815	2.39923	
96.8125	2.3892	
96.81	2.37933	
96.8075	2.3913	
96.805	2.38224	
96.8025	2.37221	
96.8	2.36267	
96.7975	2.35361	
96.795	2.32367	
96.7925	2.3371	
96.79	2.35053	
96.7875	2.36202	
96.785	2.35393	
96.7825	2.34455	
96.78	2.33646	
96.7775	2.32675	
96.775	2.31785	
96.7725	2.31073	
96.77	2.30216	
96.7675	2.31656	
96.765	2.35053	
96.7625	2.36364	
96.76	2.35539	
96.7575	2.34536	
96.755	2.35895	
96.7525	2.30669	
96.75	2.29941	
96.7475	2.29067	
96.745	2.28274	
96.7425	2.29795	
96.74	2.26818	
96.7375	2.26138	
96.735	2.23259	
96.7325	2.24779	
96.73	2.26284	
96.7275	2.2342	
96.725	2.22838	
96.7225	2.22239	
96.72	2.21657	
96.7175	2.21042	
96.715	2.20508	
96.7125	2.20006	
96.71	2.19521	
96.7075	2.18842	
96.705	2.18291	
96.7025	2.17774	
96.7	2.17337	
96.6975	2.16835	
96.695	2.14198	
96.6925	2.13745	
96.69	2.11253	
96.6875	2.1093	
96.685	2.14861	
96.6825	2.16528	
96.68	2.16107	
96.6775	2.15444	
96.675	2.1512	
96.6725	2.14667	
96.67	2.1216	
96.6675	2.11771	
96.665	2.09134	
96.6625	2.0881	
96.66	2.1072	
96.6575	2.08196	
96.655	2.07937	
96.6525	2.11949	
96.65	2.11593	
96.6475	2.0915	
96.645	2.08891	
96.6425	2.10639	
96.64	2.12451	
96.6375	2.09894	
96.635	2.09538	
96.6325	2.07015	
96.63	2.06772	
96.6275	2.04296	
96.625	2.04183	
96.6225	2.03973	
96.62	2.03762	
96.6175	2.03585	
96.615	2.01384	
96.6125	2.01093	
96.61	2.00963	
96.6075	2.00963	
96.605	2.00753	
96.6025	1.98391	
96.6	2.00543	
96.5975	1.98342	
96.595	2.00268	
96.5925	2.00219	
96.59	2.04474	
