angle (°) - amplitude	amplitude (V) - amplitude	
32.0525	2.93153	
32.055	2.93105	
32.0575	2.9304	
32.06	2.90791	
32.0625	2.92975	
32.065	2.90856	
32.0675	2.88526	
32.07	2.86374	
32.0725	2.8652	
32.075	2.86698	
32.0775	2.86681	
32.08	2.86714	
32.0825	2.84756	
32.085	2.86876	
32.0875	2.87021	
32.09	2.8707	
32.0925	2.87118	
32.095	2.87151	
32.0975	2.85177	
32.1	2.85177	
32.1025	2.83122	
32.105	2.83462	
32.1075	2.85614	
32.11	2.83559	
32.1125	2.83721	
32.115	2.86083	
32.1175	2.88332	
32.12	2.88316	
32.1225	2.88445	
32.125	2.86293	
32.1275	2.86358	
32.13	2.86471	
32.1325	2.86568	
32.135	2.84578	
32.1375	2.82442	
32.14	2.8262	
32.1425	2.80744	
32.145	2.80857	
32.1475	2.81019	
32.15	2.81358	
32.1525	2.79385	
32.155	2.86018	
32.1575	2.90484	
32.16	2.92603	
32.1625	2.92538	
32.165	2.94674	
32.1675	2.94545	
32.17	2.94431	
32.1725	2.9435	
32.175	2.96454	
32.1775	2.98476	
32.18	3.0045	
32.1825	2.98088	
32.185	2.99997	
32.1875	2.99851	
32.19	2.99641	
32.1925	2.99398	
32.195	2.9715	
32.1975	2.94658	
32.2	2.92458	
32.2025	2.8817	
32.205	2.88154	
32.2075	2.98945	
32.21	3.03087	
32.2125	3.04964	
32.215	3.04576	
32.2175	3.04268	
32.22	3.01793	
32.2225	3.03686	
32.225	3.03443	
32.2275	3.03039	
32.23	3.0066	
32.2325	3.00499	
32.235	3.00207	
32.2375	2.99981	
32.24	2.99787	
32.2425	2.97489	
32.245	2.97295	
32.2475	2.96972	
32.25	2.96874	
32.2525	2.94706	
32.255	2.92328	
32.2575	2.90079	
32.26	2.90111	
32.2625	2.88008	
32.265	2.86034	
32.2675	2.90306	
32.27	2.92474	
32.2725	2.96777	
32.275	2.98735	
32.2775	2.98492	
32.28	3.00547	
32.2825	3.00321	
32.285	3.00062	
32.2875	2.97797	
32.29	2.97457	
32.2925	2.99496	
32.295	3.01469	
32.2975	2.99042	
32.3	2.98848	
32.3025	2.98735	
32.305	2.98525	
32.3075	2.98282	
32.31	2.95904	
32.3125	2.95774	
32.315	2.97797	
32.3175	3.01971	
32.32	3.0168	
32.3225	3.03621	
32.325	3.05466	
32.3275	3.07245	
32.33	3.06889	
32.3325	3.04333	
32.335	3.04107	
32.3375	3.01583	
32.34	3.0354	
32.3425	3.03184	
32.345	3.00822	
32.3475	3.00515	
32.35	2.98136	
32.3525	2.97958	
32.355	2.97797	
32.3575	2.95499	
32.36	2.97554	
32.3625	2.95289	
32.365	2.97344	
32.3675	2.97117	
32.37	2.96955	
32.3725	2.94723	
32.375	2.98865	
32.3775	2.9867	
32.38	2.96276	
32.3825	2.96179	
32.385	2.98217	
32.3875	2.95888	
32.39	2.97926	
32.3925	2.95693	
32.395	2.9558	
32.3975	2.97667	
32.4	2.99496	
32.4025	2.99334	
32.405	2.96955	
32.4075	2.96777	
32.41	2.96632	
32.4125	3.00838	
32.415	3.02748	
32.4175	3.02537	
32.42	3.02149	
32.4225	2.99722	
32.425	3.01631	
32.4275	2.99301	
32.43	2.9901	
32.4325	2.94609	
32.435	2.94399	
32.4375	2.92102	
32.44	2.87814	
32.4425	2.8783	
32.445	2.87895	
32.4475	2.85824	
32.45	2.83704	
32.4525	2.86099	
32.455	2.88364	
